Time (sec), Heater 1 (%), Temperature 1 (degC)
3.523812100887298584e+02,5.000000000000000000e+01,9.404999999999999716e+01
3.533755049705505371e+02,5.000000000000000000e+01,9.406999999999999318e+01
3.543694126605987549e+02,5.000000000000000000e+01,9.432999999999999829e+01
3.553646175861358643e+02,5.000000000000000000e+01,9.431000000000000227e+01
3.563571300506591797e+02,5.000000000000000000e+01,9.426000000000000512e+01
3.573565447330474854e+02,5.000000000000000000e+01,9.418000000000000682e+01
3.583545472621917725e+02,5.000000000000000000e+01,9.432999999999999829e+01
3.593503479957580566e+02,5.000000000000000000e+01,9.437999999999999545e+01
3.603530271053314209e+02,5.000000000000000000e+01,9.437999999999999545e+01
3.613539702892303467e+02,5.000000000000000000e+01,9.439000000000000057e+01
3.623481431007385254e+02,5.000000000000000000e+01,9.462000000000000455e+01
3.633463516235351562e+02,5.000000000000000000e+01,9.470000000000000284e+01
3.643440325260162354e+02,5.000000000000000000e+01,9.454000000000000625e+01
3.653403410911560059e+02,5.000000000000000000e+01,9.437999999999999545e+01
3.663355424404144287e+02,5.000000000000000000e+01,9.437999999999999545e+01
3.673320410251617432e+02,5.000000000000000000e+01,9.439000000000000057e+01
3.683264002799987793e+02,5.000000000000000000e+01,9.446999999999999886e+01
3.693212976455688477e+02,5.000000000000000000e+01,9.445999999999999375e+01
3.703163983821868896e+02,5.000000000000000000e+01,9.439000000000000057e+01
3.713115670680999756e+02,5.000000000000000000e+01,9.437999999999999545e+01
3.723045256137847900e+02,5.000000000000000000e+01,9.437999999999999545e+01
3.733022096157073975e+02,5.000000000000000000e+01,9.451999999999999602e+01
3.742992768287658691e+02,5.000000000000000000e+01,9.470000000000000284e+01
3.752981727123260498e+02,5.000000000000000000e+01,9.478000000000000114e+01
3.762966673374176025e+02,5.000000000000000000e+01,9.500000000000000000e+01
3.772935090065002441e+02,5.000000000000000000e+01,9.501999999999999602e+01
3.782920346260070801e+02,5.000000000000000000e+01,9.504000000000000625e+01
3.792883987426757812e+02,5.000000000000000000e+01,9.506999999999999318e+01
3.802834107875823975e+02,5.000000000000000000e+01,9.501999999999999602e+01
3.812763445377349854e+02,5.000000000000000000e+01,9.506999999999999318e+01
3.822821853160858154e+02,5.000000000000000000e+01,9.529000000000000625e+01
3.832780294418334961e+02,5.000000000000000000e+01,9.534000000000000341e+01
3.842738101482391357e+02,5.000000000000000000e+01,9.534000000000000341e+01
3.852673981189727783e+02,5.000000000000000000e+01,9.534000000000000341e+01
3.862641644477844238e+02,5.000000000000000000e+01,9.554000000000000625e+01
3.872619633674621582e+02,5.000000000000000000e+01,9.565000000000000568e+01
3.882581295967102051e+02,5.000000000000000000e+01,9.565999999999999659e+01
3.892545828819274902e+02,5.000000000000000000e+01,9.576000000000000512e+01
3.902492153644561768e+02,5.000000000000000000e+01,9.598999999999999488e+01
3.912441120147705078e+02,5.000000000000000000e+01,9.598999999999999488e+01
3.922401864528656006e+02,5.000000000000000000e+01,9.615999999999999659e+01
3.932378606796264648e+02,5.000000000000000000e+01,9.631000000000000227e+01
3.942362341880798340e+02,5.000000000000000000e+01,9.631000000000000227e+01
3.952332379817962646e+02,5.000000000000000000e+01,9.631000000000000227e+01
3.962303526401519775e+02,5.000000000000000000e+01,9.609999999999999432e+01
3.972213335037231445e+02,5.000000000000000000e+01,9.598999999999999488e+01
3.982175834178924561e+02,5.000000000000000000e+01,9.598999999999999488e+01
3.992145473957061768e+02,5.000000000000000000e+01,9.604999999999999716e+01
4.002119572162628174e+02,5.000000000000000000e+01,9.629000000000000625e+01
4.012110602855682373e+02,5.000000000000000000e+01,9.631000000000000227e+01
4.022090280055999756e+02,5.000000000000000000e+01,9.631000000000000227e+01
4.032005696296691895e+02,5.000000000000000000e+01,9.631000000000000227e+01
4.041992387771606445e+02,5.000000000000000000e+01,9.635999999999999943e+01
4.051954994201660156e+02,5.000000000000000000e+01,9.635999999999999943e+01
4.061921637058258057e+02,5.000000000000000000e+01,9.650000000000000000e+01
4.071896121501922607e+02,5.000000000000000000e+01,9.662999999999999545e+01
4.081883292198181152e+02,5.000000000000000000e+01,9.662999999999999545e+01
4.091814599037170410e+02,5.000000000000000000e+01,9.662999999999999545e+01
4.101775627136230469e+02,5.000000000000000000e+01,9.673000000000000398e+01
4.111713705062866211e+02,5.000000000000000000e+01,9.692000000000000171e+01
4.121714766025543213e+02,5.000000000000000000e+01,9.695000000000000284e+01
4.131666684150695801e+02,5.000000000000000000e+01,9.698999999999999488e+01
4.141613960266113281e+02,5.000000000000000000e+01,9.728000000000000114e+01
4.151565885543823242e+02,5.000000000000000000e+01,9.734000000000000341e+01
4.161502604484558105e+02,5.000000000000000000e+01,9.735999999999999943e+01
4.171453366279602051e+02,5.000000000000000000e+01,9.729000000000000625e+01
4.181418027877807617e+02,5.000000000000000000e+01,9.728000000000000114e+01
4.191355366706848145e+02,5.000000000000000000e+01,9.728000000000000114e+01
4.201351754665374756e+02,5.000000000000000000e+01,9.726000000000000512e+01
4.211350679397583008e+02,5.000000000000000000e+01,9.720999999999999375e+01
4.221306862831115723e+02,5.000000000000000000e+01,9.720999999999999375e+01
4.231281485557556152e+02,5.000000000000000000e+01,9.728000000000000114e+01
4.241245057582855225e+02,5.000000000000000000e+01,9.728000000000000114e+01
4.251222140789031982e+02,5.000000000000000000e+01,9.728000000000000114e+01
4.261192550659179688e+02,5.000000000000000000e+01,9.723000000000000398e+01
4.271138617992401123e+02,5.000000000000000000e+01,9.695000000000000284e+01
4.281163313388824463e+02,5.000000000000000000e+01,9.665000000000000568e+01
4.291104245185852051e+02,5.000000000000000000e+01,9.662999999999999545e+01
4.301066443920135498e+02,5.000000000000000000e+01,9.653000000000000114e+01
4.311027662754058838e+02,5.000000000000000000e+01,9.648999999999999488e+01
4.321003046035766602e+02,5.000000000000000000e+01,9.659999999999999432e+01
4.330966444015502930e+02,5.000000000000000000e+01,9.642000000000000171e+01
4.340925281047821045e+02,5.000000000000000000e+01,9.631000000000000227e+01
4.350871524810791016e+02,5.000000000000000000e+01,9.623000000000000398e+01
4.360856201648712158e+02,5.000000000000000000e+01,9.631000000000000227e+01
4.370792126655578613e+02,5.000000000000000000e+01,9.631000000000000227e+01
4.380713882446289062e+02,5.000000000000000000e+01,9.642000000000000171e+01
4.390673758983612061e+02,5.000000000000000000e+01,9.639000000000000057e+01
4.400628228187561035e+02,5.000000000000000000e+01,9.656999999999999318e+01
4.410617749691009521e+02,5.000000000000000000e+01,9.654999999999999716e+01
4.420568609237670898e+02,5.000000000000000000e+01,9.634000000000000341e+01
4.430510110855102539e+02,5.000000000000000000e+01,9.640999999999999659e+01
4.440441474914550781e+02,5.000000000000000000e+01,9.631999999999999318e+01
4.450401747226715088e+02,5.000000000000000000e+01,9.642000000000000171e+01
4.460343534946441650e+02,5.000000000000000000e+01,9.662999999999999545e+01
4.470275909900665283e+02,5.000000000000000000e+01,9.662999999999999545e+01
4.480270421504974365e+02,5.000000000000000000e+01,9.692000000000000171e+01
4.490171022415161133e+02,5.000000000000000000e+01,9.695000000000000284e+01
4.500100436210632324e+02,5.000000000000000000e+01,9.695000000000000284e+01
4.510030813217163086e+02,5.000000000000000000e+01,9.707999999999999829e+01
4.520025360584259033e+02,5.000000000000000000e+01,9.718000000000000682e+01
4.529974534511566162e+02,5.000000000000000000e+01,9.718999999999999773e+01
4.539931523799896240e+02,5.000000000000000000e+01,9.718999999999999773e+01
4.549900014400482178e+02,5.000000000000000000e+01,9.698999999999999488e+01
4.559826650619506836e+02,5.000000000000000000e+01,9.700000000000000000e+01
4.569793365001678467e+02,5.000000000000000000e+01,9.695000000000000284e+01
4.579735116958618164e+02,5.000000000000000000e+01,9.695000000000000284e+01
4.589663259983062744e+02,5.000000000000000000e+01,9.662999999999999545e+01
4.599616155624389648e+02,5.000000000000000000e+01,9.650000000000000000e+01
4.609597496986389160e+02,5.000000000000000000e+01,9.631000000000000227e+01
4.619555382728576660e+02,5.000000000000000000e+01,9.623000000000000398e+01
4.629529995918273926e+02,5.000000000000000000e+01,9.598999999999999488e+01
4.639490993022918701e+02,5.000000000000000000e+01,9.598999999999999488e+01
4.649484388828277588e+02,5.000000000000000000e+01,9.573999999999999488e+01
4.659416267871856689e+02,5.000000000000000000e+01,9.573000000000000398e+01
4.669354376792907715e+02,5.000000000000000000e+01,9.576000000000000512e+01
4.679279391765594482e+02,5.000000000000000000e+01,9.573999999999999488e+01
4.689242742061614990e+02,5.000000000000000000e+01,9.565999999999999659e+01
4.699213395118713379e+02,5.000000000000000000e+01,9.565999999999999659e+01
4.709164974689483643e+02,5.000000000000000000e+01,9.551999999999999602e+01
4.719109232425689697e+02,5.000000000000000000e+01,9.534000000000000341e+01
4.729055588245391846e+02,5.000000000000000000e+01,9.534000000000000341e+01
4.738994660377502441e+02,5.000000000000000000e+01,9.535999999999999943e+01
4.748964390754699707e+02,5.000000000000000000e+01,9.535999999999999943e+01
4.758916385173797607e+02,5.000000000000000000e+01,9.565000000000000568e+01
4.768851494789123535e+02,5.000000000000000000e+01,9.542000000000000171e+01
4.778851933479309082e+02,5.000000000000000000e+01,9.542000000000000171e+01
4.788812656402587891e+02,5.000000000000000000e+01,9.534000000000000341e+01
4.798783187866210938e+02,5.000000000000000000e+01,9.534000000000000341e+01
4.808744671344757080e+02,5.000000000000000000e+01,9.534000000000000341e+01
4.818728082180023193e+02,5.000000000000000000e+01,9.534000000000000341e+01
4.828702819347381592e+02,5.000000000000000000e+01,9.534000000000000341e+01
4.838641240596771240e+02,5.000000000000000000e+01,9.534000000000000341e+01
4.848576903343200684e+02,5.000000000000000000e+01,9.528000000000000114e+01
4.858566675186157227e+02,5.000000000000000000e+01,9.515000000000000568e+01
4.868523073196411133e+02,5.000000000000000000e+01,9.531000000000000227e+01
4.878502199649810791e+02,5.000000000000000000e+01,9.531000000000000227e+01
4.888475832939147949e+02,5.000000000000000000e+01,9.534000000000000341e+01
4.898433620929718018e+02,5.000000000000000000e+01,9.554000000000000625e+01
4.908355286121368408e+02,5.000000000000000000e+01,9.540999999999999659e+01
4.918322882652282715e+02,5.000000000000000000e+01,9.534000000000000341e+01
4.928303768634796143e+02,5.000000000000000000e+01,9.520999999999999375e+01
4.938263378143310547e+02,5.000000000000000000e+01,9.501999999999999602e+01
4.948264555931091309e+02,5.000000000000000000e+01,9.492000000000000171e+01
4.958222696781158447e+02,5.000000000000000000e+01,9.496999999999999886e+01
4.968265395164489746e+02,5.000000000000000000e+01,9.501999999999999602e+01
4.978203399181365967e+02,5.000000000000000000e+01,9.501999999999999602e+01
4.988174078464508057e+02,5.000000000000000000e+01,9.501999999999999602e+01
4.998139550685882568e+02,5.000000000000000000e+01,9.506999999999999318e+01
5.008082084655761719e+02,5.000000000000000000e+01,9.532999999999999829e+01
5.018088388442993164e+02,5.000000000000000000e+01,9.548999999999999488e+01
5.028024506568908691e+02,5.000000000000000000e+01,9.565999999999999659e+01
5.037991681098937988e+02,5.000000000000000000e+01,9.589000000000000057e+01
5.047924969196319580e+02,5.000000000000000000e+01,9.598999999999999488e+01
5.057888550758361816e+02,5.000000000000000000e+01,9.603000000000000114e+01
5.067831275463104248e+02,5.000000000000000000e+01,9.631000000000000227e+01
5.077806751728057861e+02,5.000000000000000000e+01,9.631000000000000227e+01
5.087745008468627930e+02,5.000000000000000000e+01,9.637000000000000455e+01
5.097721784114837646e+02,5.000000000000000000e+01,9.657999999999999829e+01
5.107691144943237305e+02,5.000000000000000000e+01,9.654999999999999716e+01
5.117659468650817871e+02,5.000000000000000000e+01,9.656999999999999318e+01
5.127666401863098145e+02,5.000000000000000000e+01,9.662999999999999545e+01
5.137621283531188965e+02,5.000000000000000000e+01,9.695000000000000284e+01
5.147597050666809082e+02,5.000000000000000000e+01,9.695000000000000284e+01
5.157534725666046143e+02,5.000000000000000000e+01,9.703000000000000114e+01
5.167535047531127930e+02,5.000000000000000000e+01,9.695000000000000284e+01
5.177508506774902344e+02,5.000000000000000000e+01,9.678000000000000114e+01
5.187484147548675537e+02,5.000000000000000000e+01,9.654999999999999716e+01
5.197413277626037598e+02,5.000000000000000000e+01,9.631000000000000227e+01
5.207374861240386963e+02,5.000000000000000000e+01,9.618000000000000682e+01
5.217291634082794189e+02,5.000000000000000000e+01,9.631000000000000227e+01
5.227338557243347168e+02,5.000000000000000000e+01,9.631000000000000227e+01
5.237308776378631592e+02,5.000000000000000000e+01,9.631000000000000227e+01
5.247300059795379639e+02,5.000000000000000000e+01,9.639000000000000057e+01
5.257262942790985107e+02,5.000000000000000000e+01,9.631000000000000227e+01
5.267245070934295654e+02,5.000000000000000000e+01,9.631000000000000227e+01
5.277197511196136475e+02,5.000000000000000000e+01,9.631000000000000227e+01
5.287168486118316650e+02,5.000000000000000000e+01,9.631000000000000227e+01
5.297096502780914307e+02,5.000000000000000000e+01,9.631000000000000227e+01
5.307088019847869873e+02,5.000000000000000000e+01,9.640999999999999659e+01
5.317056035995483398e+02,5.000000000000000000e+01,9.665000000000000568e+01
5.327003319263458252e+02,5.000000000000000000e+01,9.712999999999999545e+01
5.336925508975982666e+02,5.000000000000000000e+01,9.728000000000000114e+01
5.346892244815826416e+02,5.000000000000000000e+01,9.731000000000000227e+01
5.356867742538452148e+02,5.000000000000000000e+01,9.728000000000000114e+01
5.366824142932891846e+02,5.000000000000000000e+01,9.723999999999999488e+01
5.376817266941070557e+02,5.000000000000000000e+01,9.700000000000000000e+01
5.386746270656585693e+02,5.000000000000000000e+01,9.701999999999999602e+01
5.396699140071868896e+02,5.000000000000000000e+01,9.695000000000000284e+01
5.406666290760040283e+02,5.000000000000000000e+01,9.692000000000000171e+01
5.416612498760223389e+02,5.000000000000000000e+01,9.692000000000000171e+01
5.426666197776794434e+02,5.000000000000000000e+01,9.665000000000000568e+01
5.436595547199249268e+02,5.000000000000000000e+01,9.670000000000000284e+01
5.446563980579376221e+02,5.000000000000000000e+01,9.676000000000000512e+01
5.456545054912567139e+02,5.000000000000000000e+01,9.670000000000000284e+01
5.466470818519592285e+02,5.000000000000000000e+01,9.689000000000000057e+01
5.476435611248016357e+02,5.000000000000000000e+01,9.670000000000000284e+01
5.486382901668548584e+02,5.000000000000000000e+01,9.684000000000000341e+01
5.496327011585235596e+02,5.000000000000000000e+01,9.695000000000000284e+01
5.506275308132171631e+02,5.000000000000000000e+01,9.693999999999999773e+01
5.516235396862030029e+02,5.000000000000000000e+01,9.695000000000000284e+01
5.526245167255401611e+02,5.000000000000000000e+01,9.718000000000000682e+01
5.536191675662994385e+02,5.000000000000000000e+01,9.726000000000000512e+01
5.546107761859893799e+02,5.000000000000000000e+01,9.696999999999999886e+01
5.556095941066741943e+02,5.000000000000000000e+01,9.695000000000000284e+01
5.566075341701507568e+02,5.000000000000000000e+01,9.695000000000000284e+01
5.576007571220397949e+02,5.000000000000000000e+01,9.678000000000000114e+01
5.585957520008087158e+02,5.000000000000000000e+01,9.662999999999999545e+01
5.595937654972076416e+02,5.000000000000000000e+01,9.665000000000000568e+01
5.605881984233856201e+02,5.000000000000000000e+01,9.673000000000000398e+01
5.615860192775726318e+02,5.000000000000000000e+01,9.693999999999999773e+01
